Tumor type	Proportion treatment related mutations	Total treatment related mutations	AGING	CAPECITABINE/5-FU	CARBOPLATIN	CISPLATIN	OXALIPLATIN
Lung	0.0392254090873502	1503	502.11692351006	NA	NA	1503.69619068686	NA
Lung	0.0294173323742097	777	442.574190869306	NA	NA	776.961737471998	NA
Lung	0.0138562091503268	265	399.581271112149	NA	NA	264.823414300627	NA
Lung	0.0547166459406644	616	361.622146382136	NA	NA	615.553052574453	NA
Lung	0.00389755011135857	7	70.0613635007303	NA	7.44854416147782	7.44854416147782	NA
Lung	0.0284667633366404	746	181.942231674255	NA	NA	746.052093034028	NA
Lung	0.474586406218856	4762	55.2562055332621	NA	NA	4762.29202635676	NA
Lung	0.011955205811138	79	595.044915071655	NA	NA	79.1126034276134	NA
Ovary	0.355809128630705	2058	304.219314360439	NA	1784.66612654709	1546.98604079858	NA
Ovary	0.0192037976049196	178	344.728464074681	NA	NA	178.060004826095	NA
Ovary	0.0952052091554855	965	355.219253836472	NA	461.7302507763	718.898041896071	NA
Ovary	0.283467381590706	1586	175.581989605522	NA	1096.43942579538	1332.92642783954	NA
Ovary	0.348214285714286	2184	201.160144922583	NA	1578.02396948258	1810.61536476423	NA
Ovary	0.141670512228888	1228	206.797072937736	NA	997.906303204645	565.674827197556	NA
Ovary	0.0555492830529524	492	488.450583008655	NA	NA	492.158155163846	NA
Ovary	0.375836680053548	1123	182.236268138486	NA	996.859869909467	1075.60903072846	NA
Urinary-tract	0.00588108341426567	109	1907.68629743183	0	NA	108.974331957953	NA
Urinary-tract	0.124961738598102	1633	312.682699940676	NA	1463.6371624738	1350.99393196387	NA
Urinary-tract	0.121076562041655	1651	321.153113951004	NA	1482.33434126472	1365.96659037873	NA
Urinary-tract	0.0778306286140645	1669	613.326919136276	NA	NA	1668.82092068081	NA
Urinary-tract	0.0811351808193586	1824	269.951667876969	NA	NA	1824.75665035635	NA
Urinary-tract	0.016953512901649	659	568.523599679163	NA	NA	659.484129653809	NA
Urinary-tract	0.237876802096986	5082	549.449488116244	NA	NA	5082.46666750298	NA
Urinary-tract	0.00976159189036981	312	382.866134071226	NA	311.899242601994	265.939300603063	NA
Urinary-tract	0.00919829589465531	95	475.090008690414	NA	NA	94.6837936104252	NA
Urinary-tract	0.119850973395603	2284	289.870726791058	NA	955.80349961418	1845.46610885155	NA
Urinary-tract	0.0645385149201944	651	445.424846684056	NA	NA	651.220187962024	NA
Urinary-tract	0.142632850241546	3543	552.71630625517	NA	NA	3543.73226738254	NA
Urinary-tract	0.264775320689384	6729	603.570234059193	NA	NA	6729.20590661665	NA
Urinary-tract	0.0170816444701795	59	430.349112334918	NA	NA	59.2707859717089	NA
Urinary-tract	0.320728736362673	3028	451.991107589122	NA	NA	3028.15580407483	NA
Urinary-tract	0.190491435889227	2380	322.850747458718	NA	NA	2380.07491298952	NA
Urinary-tract	0.0916239809537551	1270	367.381810633573	NA	NA	1270.24459220096	NA
Urinary-tract	0.0933750319121777	1463	442.929842239233	NA	NA	1463.67494622733	NA
Urinary-tract	0.506095273818455	5397	381.10860252632	NA	NA	5396.52801152845	NA
Urinary-tract	0.049346201743462	634	726.41335562274	NA	NA	634.672349813423	NA
